title,id
Aquaman,297802
Braveheart,197
No Strings Attached,41630
Sicario,273481
Raiders of the Lost Ark,85
RoboCop,5548
The Untouchables,117
The Curious Case of Benjamin Button,4922
The Cabin in the Woods,22970
The Shawshank Redemption,278
The Hobbit: The Desolation of Smaug,57158
Iron Man 2,10138
The Purge: Anarchy,238636
The Godfather Part II,240
Black Hawk Down,855
Jungle Cruise,451048
Grease,621
Black Panther: Wakanda Forever,505642
American Pie,2105
The Italian Job,9654
"Lock, Stock and Two Smoking Barrels",100
About Time,122906
Transformers: The Last Knight,335988
Shang-Chi and the Legend of the Ten Rings,566525
Pacific Rim: Uprising,268896
The Hunt,103663
Top Gun: Maverick,361743
Hot Fuzz,4638
Blade Runner 2049,335984
Whiplash,244786
Watchmen,13183
Troy,652
Schindler's List,424
Das Boot,387
A Beautiful Mind,453
Reservoir Dogs,500
X-Men: Apocalypse,246655
Fifty Shades Darker,341174
Nope,762504
Terminator Genisys,87101
Batman,268
Green Book,490132
Sin City,187
Superbad,8363
La La Land,313369
The Expendables 3,138103
Terminator Salvation,534
The Meg,345940
The Lord of the Rings: The Two Towers,121
Slumdog Millionaire,12405
Brokeback Mountain,142
Scooby-Doo,9637
Léon: The Professional,101
Spider-Man,557
The Avengers,24428
The Green Mile,497
Amélie,194
Mulan,337401
Miss Peregrine's Home for Peculiar Children,283366
Hulk,1927
Captain Phillips,109424
Men in Black 3,41154
The Godfather Part III,242
The Maze Runner,198663
The Fault in Our Stars,222935
The Matrix,603
Iron Man,1726
Star Wars: The Last Jedi,181808
Grown Ups,38365
Teenage Mutant Ninja Turtles,98566
Home Alone 2: Lost in New York,772
Man of Steel,49521
Divergent,157350
The Last Samurai,616
Snowpiercer,110415
Real Steel,39254
Need for Speed,136797
Indiana Jones and the Temple of Doom,87
Ted,72105
Kill Bill: Vol. 1,24
Chappie,198184
Bohemian Rhapsody,424694
